Model,Category,Stage1_Accuracy,Avg_Return,Std_Dev,Sharpe_Ratio,Win_Rate,CAGR,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,MDD,Avg_Net_Exposure,Exposure_Volatility,Turnover,Latency,Risk_Aversion_Index,Overconfident_Underconfid_Metrics,Regime_Sharpe_Variance,CVaR_5pct,CVaR_1pct,Behavioral_Entropy,Regime_Misalignment_Rate
GPT-5.1,Frontier,80.95,9.81,1.96,5.011,96,,,,,-5.52,0.737,0.323,192,0.167,1.014,,,-3.41,-6.57,1.037,12.6
Claude-4.5-Sonnet,Frontier,86.19,14.59,2.24,6.514,98,,,,,-5.96,0.935,0.21,23.9,0.226,0.991,,,-0.24,-0.57,0.287,0.4
DeepSeek-v3.1,Frontier,87.14,-14.45,2.54,-5.699,0,,,,,-17.67,1.011,0.452,99.4,0.186,1.04,,,-33.43,-37.33,0.864,84.6
Llama-3.1-8B,Baseline,57.62,-4.93,2.44,-2.024,36,,,,,-13.08,1.02,0.298,433.1,0.172,0.983,,,-32.6,-40.27,0.482,55.9
Qwen3-8B,Baseline,71.9,8.05,3.05,2.636,74,,,,,-10.42,1.194,0.702,174.9,0.139,0.9,,,-25.23,-29.47,1.235,37.3
Mistral-7B-Instruct-v0.3,Baseline,64.29,-19.41,3.62,-5.358,8,,,,,-24.44,1.427,0.752,245.7,0.17,0.981,,,-47.57,-51.55,1.086,80
Ours w/o CORA,Ablation,46.19,-25.42,4.42,-5.755,0,,,,,-29.79,1.929,0.397,28.5,0.222,0.99,,,-44.99,-45.36,0.171,96
Ours w/o DARA,Ablation,76.67,-13.39,2.2,-6.073,4,,,,,-16.38,0.961,0.199,63.1,0.21,0.99,,,-29.37,-33.37,0.19,89.5
Ours w/o Verification,Ablation,70.95,-14.25,2.8,-5.096,6,,,,,-18.48,1.19,0.346,159.2,0.186,1.003,,,-28.36,-29.51,0.86,89.6
Ours (Full Model),Full,82.38,-21.67,3.75,-5.785,0,,,,,-25.63,1.639,0.419,96.3,0.196,0.988,,,-36.94,-37.09,0.815,95.8
