Model,Category,Stage1_Accuracy,Avg_Return,Std_Dev,Sharpe_Ratio,Win_Rate,CAGR,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,MDD,Avg_Net_Exposure,Exposure_Volatility,Turnover,Latency,Risk_Aversion_Index,Overconfident_Underconfid_Metrics,Regime_Sharpe_Variance,CVaR_5pct,CVaR_1pct,Behavioral_Entropy,Regime_Misalignment_Rate
GPT-5.1,Frontier,80.95,10.52,1.86,5.657,86,,,,,-5.33,0.681,0.367,118.8,0.214,1.058,,,-13.1,-15.04,1.072,21.4
Claude-4.5-Sonnet,Frontier,86.19,21.26,2.11,10.095,100,,,,,-3.58,0.827,0.323,34.7,0.211,1.021,,,3.8,3.6,0.524,0
DeepSeek-v3.1,Frontier,87.14,45.84,4.19,10.949,100,,,,,-8.22,1.836,0.439,50.2,0.198,1.018,,,3.75,3.11,0.4,0
Llama-3.1-8B,Baseline,57.62,24.61,2.78,8.844,96,,,,,-6.51,1.24,0.451,158.3,0.174,1.041,,,-14.35,-26.19,1.017,3
Qwen3-8B,Baseline,71.9,10.71,2.01,5.328,88,,,,,-6.09,0.736,0.46,176.5,0.156,1.057,,,-21.42,-29.08,1.207,6.5
Mistral-7B-Instruct-v0.3,Baseline,64.29,20.12,3.23,6.225,90,,,,,-6.56,1.01,0.915,328.9,0.16,1.223,,,-11.17,-11.38,0.96,0.1
Ours w/o CORA,Ablation,46.19,48.57,4.37,11.111,100,,,,,-8.35,1.903,0.391,30.3,0.22,1.018,,,7.38,6.95,0.175,0
Ours w/o DARA,Ablation,76.67,22.39,2.19,10.248,100,,,,,-4.25,0.959,0.196,11,0.224,1.021,,,3.81,3.6,0.168,0
Ours w/o Verification,Ablation,70.95,27.57,2.61,10.552,100,,,,,-4.79,1.243,0.347,92.6,0.172,1.014,,,1.04,1.04,0.81,0
Ours (Full Model),Full,82.38,43.66,4,10.92,100,,,,,-7.62,1.749,0.428,63.4,0.219,1.033,,,8.19,8.19,0.689,0
