Model,Category,Stage1_Accuracy,Avg_Return,Std_Dev,Sharpe_Ratio,Win_Rate,CAGR,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,MDD,Avg_Net_Exposure,Exposure_Volatility,Turnover,Latency,Risk_Aversion_Index,Overconfident_Underconfid_Metrics,Regime_Sharpe_Variance,CVaR_5pct,CVaR_1pct,Behavioral_Entropy,Regime_Misalignment_Rate
GPT-5.1,Frontier,80.95,7.08,1.58,4.467,78,,,,,-4.95,0.683,0.343,157.7,0.185,1.043,,0.171,-9.16,-15.04,1.036,17
Claude-4.5-Sonnet,Frontier,86.19,12.04,1.83,6.575,84.7,,,,,-4.82,0.82,0.338,54.5,0.202,1.003,,0.937,-5.97,-12.03,0.506,0.2
DeepSeek-v3.1,Frontier,87.14,10.56,2.72,3.879,54,,,,,-10.77,1.297,0.402,64.8,0.182,1.035,,2.048,-27.99,-37.33,0.562,42.3
Llama-3.1-8B,Baseline,57.62,6.23,2.24,2.785,57.3,,,,,-9.16,1.113,0.361,284.6,0.172,1.015,,0.662,-23.29,-40.27,0.72,29.5
Qwen3-8B,Baseline,71.9,6.33,2.05,3.095,75.3,,,,,-7.14,0.873,0.515,185.2,0.152,1.02,,0.12,-20.3,-29.47,1.168,21.9
Mistral-7B-Instruct-v0.3,Baseline,64.29,0.43,2.96,0.145,50,,,,,-13.33,1.19,0.87,315.2,0.172,1.052,,1.345,-40.23,-51.55,0.942,40
Ours w/o CORA,Ablation,46.19,7.72,3.81,2.024,54.7,,,,,-16.63,1.917,0.393,31.3,0.197,1.01,,2.765,-41.88,-45.36,0.171,48
Ours w/o DARA,Ablation,76.67,3.07,1.9,1.615,57.3,,,,,-8.88,0.959,0.197,29.5,0.194,1.012,,2.44,-25.05,-33.37,0.175,44.8
Ours w/o Verification,Ablation,70.95,1.36,2.36,0.576,47,,,,,-11.12,1.218,0.347,141.2,0.179,1.021,,2.283,-26.85,-29.51,0.833,54.6
Ours (Full Model),Full,82.38,7.64,3.38,2.257,54.7,,,,,-14.56,1.704,0.43,82.7,0.197,1.02,,2.869,-35.44,-37.09,0.737,47.9
